Symbol,Company
LFLYW,Leafly Holdings Inc. Warrant
LFMD,LifeMD Inc. Common Stock
LFUS,Littelfuse Inc. Common Stock
LGIH,LGI Homes Inc. Common Stock
LGMK,LogicMark Inc. Common Stock
LGO,Largo Inc. Common Shares
LGTOU,Legato Merger Corp. II Unit
LHCG,LHC Group Common Stock
LIDRW,AEye Inc. Warrant
LIFE,aTyr Pharma Inc. Common Stock
LILMW,Lilium N.V. Warrants
LIN,Linde plc Ordinary Share
LIONU,Lionheart III Corp Unit
LIONW,Lionheart III Corp Warrant
LIVN,LivaNova PLC Ordinary Shares
LKQ,LKQ Corporation Common Stock
LMDXW,LumiraDx Limited Warrant
LMND,Lemonade Inc. Common Stock
LMNR,Limoneira Co Common Stock
LNKB,LINKBANCORP Inc. Common Stock
LNSR,LENSAR Inc. Common Stock
LOAN,Manhattan Bridge Capital Inc
LODE,Comstock Inc. Common Stock
LOTZW,CarLotz Inc. Warrant
LPCN,Lipocine Inc. Common Stock
LPG,Dorian LPG Ltd. Common Stock
LPSN,LivePerson Inc. Common Stock
LPTV,Loop Media Inc. Common Stock
LRN,Stride Inc. Common Stock
LTCH,Latch Inc. Common Stock
LTRX,Lantronix Inc. Common Stock
LTRY,Lottery.com Inc. Common Stock
LTRYW,Lottery.com Inc. Warrants
LVO,LiveOne Inc. Common Stock
LVOXW,LiveVox Holdings Inc. Warrant
LVRAW,Levere Holdings Corp. Warrant
M,Macy's Inc Common Stock
MAN,ManpowerGroup Common Stock
MAPSW,WM Technology Inc. Warrants 
MASS,908 Devices Inc. Common Stock
MAT,Mattel Inc. Common Stock
MATX,Matson Inc. Common Stock
MAXR,Maxar Technologies Inc.
MAYS,J. W. Mays Inc. Common Stock
MBI,MBIA Inc. Common Stock
MBIO,Mustang Bio Inc. Common Stock
MDGSW,Medigus Ltd. Series C Warrant
MDJH,MDJM LTD Ordinary Share
MDXG,MiMedx Group Inc Common Stock
MED,MEDIFAST INC Common Stock
MEIP,MEI Pharma Inc. Common Stock
MET,MetLife Inc. Common Stock
MFA,MFA Financial Inc.
MGEE,MGE Energy Inc
MGNI,Magnite Inc. Common Stock
MGNX,MacroGenics Inc. Common Stock
MGPI,MGP Ingredients Inc.
MGRC,McGrath RentCorp Common Stock
MHLD,Maiden Holdings Ltd.
MHO,M/I Homes Inc. Common Stock
MICT,MICT Inc. Common Stock
MINM,Minim Inc. Common Stock
MLKN,MillerKnoll Inc. Common Stock
MMM,3M Company Common Stock
MMS,Maximus Inc. Common Stock
MNOV,Medicinova Inc Common Stock
MNRO,Monro Inc. Common Stock
MNST,Monster Beverage Corporation
MNTSW,Momentus Inc. Warrant
MO,Altria Group Inc.
MOBBW,Mobilicom Limited Warrants
MOBVU,Mobiv Acquisition Corp Unit
MODN,Model N Inc. Common Stock
MODV,ModivCare Inc. Common Stock
MOGO,Mogo Inc. Common Shares
MORN,Morningstar Inc. Common Stock
MOVE,Movano Inc. Common Stock
MPB,Mid Penn Bancorp Common Stock
MRC,MRC Global Inc. Common Stock
MRNA,Moderna Inc. Common Stock
MRUS,Merus N.V. Common Shares
MS,Morgan Stanley Common Stock
MSB,Mesabi Trust Common Stock
MSCI,MSCI Inc Common Stock
MSDAU,MSD Acquisition Corp. Unit
MSDAW,MSD Acquisition Corp. Warrant
MSPRW,MSP Recovery Inc. Warrant
MSPRZ,MSP Recovery Inc. Warrant
MTBC,CareCloud Inc. Common Stock
MTC,MMTec Inc. Common Shares
MTCH,Match Group Inc. Common Stock
MTCR,Metacrine Inc. Common Stock
MTRN,Materion Corporation
MTZ,MasTec Inc. Common Stock
MUSA,Murphy USA Inc. Common Stock
MVIS,MicroVision Inc. Common Stock
MXCT,MaxCyte Inc. Common Stock
MXL,MaxLinear Inc. Common Stock
MYO,Myomo Inc. Common Stock
MYRG,MYR Group Inc. Common Stock
MYSZ,My Size Inc. Common Stock
NABL,N-able Inc. Common Stock
NBN,Northeast Bank Common Stock
NBR,Nabors Industries Ltd.
NBTB,NBT Bancorp Inc. Common Stock
NCNO,nCino Inc. Common Stock
NCPL,Netcapital Inc. Common Stock
NCPLW,Netcapital Inc. Warrants
NCR,NCR Corporation Common Stock
NCRA,Nocera Inc. Common Stock
NDAQ,Nasdaq Inc. Common Stock
NEM,Newmont Corporation
NEO,NeoGenomics Inc. Common Stock
NEON,Neonode Inc. Common Stock
NEOV,NeoVolta Inc. Common Stock
NEPH,Nephros Inc. Common Stock
NETI,Eneti Inc. Common Stock
NEU,NewMarket Corp Common Stock
NEWR,New Relic Inc. Common Stock
NEXI,NexImmune Inc. Common Stock
NFLX,Netflix Inc. Common Stock
NG,Novagold Resources Inc.
NGD,New Gold Inc.
NGMS,NeoGames S.A. Ordinary Shares
NH,NantHealth Inc. Common Stock
NI,NiSource Inc Common Stock
NKE,Nike Inc. Common Stock
NKTX,Nkarta Inc. Common Stock
NLS,Nautilus Inc. Common Stock
NN,NextNav Inc. Common Stock
NNAVW,NextNav Inc. Warrant
NNBR,NN Inc. Common Stock
NNI,Nelnet Inc. Common Stock
NOAH,Noah Holdings Limited
NODK,NI Holdings Inc. Common Stock
NOGN,Nogin Inc. Common Stock
NOGNW,Nogin Inc. Warrant 
NOTV,Inotiv Inc. Common Stock
NOV,NOV Inc. Common Stock
NOVN,Novan Inc. Common Stock
NOVT,Novanta Inc. Common Stock
NOW,ServiceNow Inc. Common Stock
NPCE,Neuropace Inc. Common Stock
NPO,EnPro Industries Inc
NRG,NRG Energy Inc. Common Stock
NSP,Insperity Inc. Common Stock
NSPR,InspireMD Inc. Common Stock
NTAP,NetApp Inc. Common Stock
NTGR,NETGEAR Inc. Common Stock
NTR,Nutrien Ltd. Common Shares
NTRA,Natera Inc. Common Stock
NTRB,Nutriband Inc. Common Stock
NTRBW,Nutriband Inc. Warrant
NTST,NetSTREIT Corp. Common Stock
NTZ,Natuzzi S.p.A.
NURO,NeuroMetrix Inc. Common Stock
NUVA,NuVasive Inc. Common Stock
NUWE,Nuwellis Inc. Common Stock
NUZE,NuZee Inc. Common Stock
NVAX,Novavax Inc. Common Stock
NVCN,Neovasc Inc. Common Shares
NVEC,NVE Corporation Common Stock
NVEE,NV5 Global Inc. Common Stock
NVMI,Nova Ltd. Ordinary Shares
NVO,Novo Nordisk A/S Common Stock
NVR,NVR Inc. Common Stock
NVRO,Nevro Corp. Common Stock
NVS,Novartis AG Common Stock
NVVEW,Nuvve Holding Corp. Warrant
NWTNW,NWTN Inc. Warrant
NXGL,NexGel Inc Common Stock
NXGLW,NexGel Inc Warrant
NXPL,NextPlat Corp Common Stock
NXPLW,NextPlat Corp Warrants
NXTC,NextCure Inc. Common Stock
NYAX,Nayax Ltd. Ordinary Shares
NYXH,Nyxoah SA Ordinary Shares
OABI,OmniAb Inc. Common Stock
OABIW,OmniAb Inc. Warrant
OB,Outbrain Inc. Common Stock
OBLG,Oblong Inc. Common Stock
OBSV,ObsEva SA Ordinary Shares
OCAXU,OCA Acquisition Corp. Unit
OCAXW,OCA Acquisition Corp. Warrant
OCGN,Ocugen Inc. Common Stock
OFG,OFG Bancorp Common Stock
OFLX,Omega Flex Inc. Common Stock
OGE,OGE Energy Corp Common Stock
OGEN,Oragenics Inc. Common Stock
OGN,Organon & Co. Common Stock 
OGS,ONE Gas Inc. Common Stock
OHAAU,OPY Acquisition Corp. I Units
OHPAU,Orion Acquisition Corp. Unit
OI,O-I Glass Inc. Common Stock
OKE,ONEOK Inc. Common Stock
OLN,Olin Corporation Common Stock
OLO,Olo Inc. Class A Common Stock
OMQS,OMNIQ Corp. Common Stock
ONCR,Oncorus Inc. Common Stock
ONFOW,Onfolio Holdings Inc. Warrant
ONTF,ON24 Inc. Common Stock
OOMA,Ooma Inc. Common Stock
OP,OceanPal Inc. Common Stock
OPALW,OPAL Fuels Inc. Warrant
OPBK,OP Bancorp Common Stock
OPGN,OpGen Inc. Common Stock
OPK,OPKO Health Inc. Common Stock
OPTN,OptiNose Inc. Common Stock
ORAN,Orange
ORGS,Orgenesis Inc. Common Stock
OSPN,OneSpan Inc. Common Stock
OTIC,Otonomy Inc. Common Stock
OTRK,Ontrak Inc. Common Stock
OUST,Ouster Inc. Common Stock
OVV,Ovintiv Inc. (DE)
OZK,Bank OZK Common Stock
PACW,PacWest Bancorp Common Stock
PACXU,Pioneer Merger Corp. Unit
PACXW,Pioneer Merger Corp. Warrant
PALT,Paltalk Inc. Common Stock
PASG,Passage Bio Inc. Common Stock
PAVM,PAVmed Inc. Common Stock
PAVMZ,PAVmed Inc. Series Z Warrant
PAYOW,Payoneer Global Inc. Warrant
PAYS,Paysign Inc. Common Stock
PAYX,Paychex Inc. Common Stock
PCAR,PACCAR Inc. Common Stock
PCB,PCB Bancorp Common Stock
PCM,PCM Fund Inc. Common Stock
PCTI,PCTEL Inc. Common Stock
PCVX,Vaxcyte Inc. Common Stock
PD,PagerDuty Inc. Common Stock
PDEX,Pro-Dex Inc. Common Stock
PED,Pedevco Corp. Common Stock
PEGA,Pegasystems Inc. Common Stock
PEN,Penumbra Inc. Common Stock
PEP,PepsiCo Inc. Common Stock
PEPG,PepGen Inc. Common Stock
PET,Wag! Group Co. Common Stock
PETVW,PetVivo Holdings Inc. Warrant
PETWW,Wag! Group Co Warrant
PFBC,Preferred Bank Common Stock
PFE,Pfizer Inc. Common Stock
PFN,PIMCO Income Strategy Fund II
PFSW,PFSweb Inc. Common Stock
PGEN,Precigen Inc. Common Stock
PGNY,Progyny Inc. Common Stock
PGTI,PGT Innovations Inc.
PHGE,BiomX Inc. COmmon Stock
PHI,PLDT Inc. Sponsored ADR
PHM,PulteGroup Inc. Common Stock
PHR,Phreesia Inc. Common Stock
PHT,Pioneer High Income Fund Inc.
PHUN,Phunware Inc. Common Stock
PHUNW,Phunware Inc. Warrants
PI,Impinj Inc. Common Stock
PII,Polaris Inc. Common Stock
PIK,Kidpik Corp. Common Stock
PIXY,ShiftPixy Inc. Common Stock
PKBO,Peak Bio Inc. Common Stock
PKBOW,Peak Bio Inc. Warrant
PKI,PerkinElmer Inc. Common Stock
PLAB,Photronics Inc. Common Stock
PLBC,Plumas Bancorp
PLBY,PLBY Group Inc. Common Stock
PLD,Prologis Inc. Common Stock
PLUG,Plug Power Inc. Common Stock
PLUR,Pluri Inc. Common Stock
PLUS,ePlus inc. Common Stock
PLXP,PLx Pharma Inc. Common Stock
PLXS,Plexus Corp. Common Stock
PMD,Psychemedics Corporation
PNR,Pentair plc. Ordinary Share
POL,Polished Inc. Common Stock
POLA,Polar Power Inc. Common Stock
PONOU,Pono Capital Corp Unit
PONOW,Pono Capital Corp Warrant
POOL,Pool Corporation Common Stock
POWRU,Powered Brands Units
POWRW,Powered Brands Warrants
POWW,AMMO Inc. Common Stock
PPBI,Pacific Premier Bancorp Inc
PPL,PPL Corporation Common Stock
PRAA,PRA Group Inc. Common Stock
PRCH,Porch Group Inc. Common Stock
PRFT,Perficient Inc. Common Stock
PRI,Primerica Inc. Common Stock
PRLB,Proto Labs Inc. Common stock
PROCW,Procaps Group S.A. Warrants
PRPO,Precipio Inc.  Common Stock
PRSO,Peraso Inc. Common Stock
PRSRU,Prospector Capital Corp. Unit
PSA,Public Storage Common Stock
PSFE,Paysafe Limited Common Shares
PSMT,PriceSmart Inc. Common Stock
PSNL,Personalis Inc. Common Stock
PSO,Pearson Plc Common Stock
PSX,Phillips 66 Common Stock
PTC,PTC Inc. Common Stock
PTE,PolarityTE Inc. Common Stock
PTRA,Proterra Inc. Common Stock
PTRS,Partners Bancorp Common Stock
PTWOU,Pono Capital Two Inc. Unit
PUCKU,Goal Acquisitions Corp. Unit
PULM,Pulmatrix Inc. Common Stock
PVH,PVH Corp. Common Stock
PW,Power REIT (MD) Common Stock
PWFL,PowerFleet Inc. Common Stock
PX,P10 Inc. Class A Common Stock
PXLW,Pixelworks Inc.  Common Stock
PXMD,PaxMedica Inc. Common Stock
PXSAW,Pyxis Tankers Inc. Warrant
PYCR,Paycor HCM Inc. Common Stock
PYPD,PolyPid Ltd. Ordinary Shares
QGEN,Qiagen N.V. Common Shares 
QLYS,Qualys Inc. Common Stock
QNST,QuinStreet Inc. Common Stock
QRVO,Qorvo Inc. Common Stock
QTEKW,QualTek Services Inc. Warrant
QTWO,Q2 Holdings Inc. Common Stock
QUMU,Qumu Corporation Common Stock
QURE,uniQure N.V. Ordinary Shares
RACE,Ferrari N.V. Common Shares
RBB,RBB Bancorp Common Stock
RCG,RENN Fund Inc Common Stock
RCM,R1 RCM Inc. Common Stock
RCOR,Renovacor Inc. Common Stock
RDCM,Radcom Ltd. Ordinary Shares
RDNT,RadNet Inc. Common Stock
RDVT,Red Violet Inc. Common Stock 
RDWR,Radware Ltd. Ordinary Shares
REED,Reeds Inc. Common Stock
REI,Ring Energy Inc. Common Stock
RES,RPC Inc. Common Stock
REVG,REV Group Inc. Common Stock
RFACR,RF Acquisition Corp. Rights
RGLD,Royal Gold Inc. Common Stock
RGNX,REGENXBIO Inc. Common Stock
RH,RH Common Stock
RIO,Rio Tinto Plc Common Stock
RLI,RLI Corp. Common Stock (DE)
RMBS,Rambus Inc. Common Stock
RMD,ResMed Inc. Common Stock
RNXT,RenovoRx Inc. Common Stock
ROIVW,Roivant Sciences Ltd. Warrant
ROL,Rollins Inc. Common Stock
ROST,Ross Stores Inc. Common Stock
RPD,Rapid7 Inc. Common Stock
RPT,RPT Realty Common Stock
RPT^D,RPT Realty 7.25% 
RSVRW,Reservoir Media Inc. Warrant
RUMBW,Rumble Inc. Warrant
RUN,Sunrun Inc. Common Stock
RUSHB,Rush Enterprises Inc. Class B
RVSNW,Rail Vision Ltd. Warrant
RVYL,Ryvyl Inc. Common Stock
RXO,RXO Inc. Common Stock
RXRAU,RXR Acquisition Corp. Units
RXST,RxSight Inc. Common Stock
SAFE,Safehold Inc. Common Stock
SAIA,Saia Inc. Common Stock
SAP,SAP  SE ADS
SAR,Saratoga Investment Corp New
SATLW,Satellogic Inc. Warrant
SBNY,Signature Bank Common Stock
SCE^L,SCE TRUST VI
SCL,Stepan Company Common Stock
SCOAU,ScION Tech Growth I Unit
SCOAW,ScION Tech Growth I Warrant
SCOBU,ScION Tech Growth II Units
SCOR,comScore Inc. Common Stock
SCS,Steelcase Inc. Common Stock
SCSC,ScanSource Inc. Common Stock
SCWO,374Water Inc. Common Stock
SCYX,SCYNEXIS Inc. Common Stock
SDGR,Schrodinger Inc. Common Stock
SECO,Secoo Holding Limited ADS
SESN,Sesen Bio Inc. Common Stock
SEV,Sono Group N.V. Common Shares
SFL,SFL Corporation Ltd
SGBX,SG Blocks Inc. Common Stock
SGEN,Seagen Inc. Common Stock
SGRP,SPAR Group Inc. Common Stock
SGU,Star Group L.P. Common Stock
SHCRW,Sharecare Inc. Warrant
SHFSW,SHF Holdings Inc. Warrants
SIBN,SI-BONE Inc. Common Stock
SIEN,Sientra Inc. Common Stock
SII,Sprott Inc. Common Shares
SILC,Silicom Ltd Ordinary Shares
SILO,Silo Pharma Inc. Common Stock
SISI,Shineco Inc. Common Stock
SJW,SJW Group Common Stock (DE)
SKYW,SkyWest Inc. Common Stock
SLAMU,Slam Corp. Unit
SLAMW,Slam Corp. warrant
SLDPW,Solid Power Inc. Warrant
SLGCW,SomaLogic Inc. Warrant
SLM,SLM Corporation Common Stock
SLQT,SelectQuote Inc. Common Stock
SMFRW,Sema4 Holdings Corp. Warrant
SNAXW,Stryve Foods Inc. Warrant
SND,Smart Sand Inc. Common Stock
SNDL,SNDL Inc. Common Shares
SNES,SenesTech Inc. Common Stock
SNGX,Soligenix Inc. Common Stock
SNPS,Synopsys Inc. Common Stock
SNY,Sanofi ADS
SOBR,SOBR Safe Inc. Common Stock
SONDW,Sonder Holdings Inc. Warrants
SONO,Sonos Inc. Common Stock
SONX,Sonendo Inc. Common Stock
SOUNW,SoundHound AI Inc. Warrant
SPGI,S&P Global Inc. Common Stock
SPKAR,SPK Acquisition Corp. Right
SPKAU,SPK Acquisition Corp Unit
SPLK,Splunk Inc. Common Stock
SPRC,SciSparc Ltd. Ordinary Shares
SQL,SeqLL Inc. Common stock
SQLLW,SeqLL Inc. Warrant
SR,Spire Inc. Common Stock
SRCL,Stericycle Inc. Common Stock
SRDX,Surmodics Inc. Common Stock
SRE,DBA Sempra Common Stock
SRI,Stoneridge Inc. Common Stock
SRL,Scully Royalty Ltd.
SRT,StarTek Inc. Common Stock
SRZN,Surrozen Inc. Common Stock
SSRM,SSR Mining Inc. Common Stock
SSTI,ShotSpotter Inc. Common Stock
STAR          ,iStar Inc. Common Stock
STBA,S&T Bancorp Inc. Common Stock
STIM,Neuronetics Inc. Common Stock
STIXW,Semantix Inc. Warrant
STKL,SunOpta Inc. Common Stock
STLA,Stellantis N.V. Common Shares
STLD,Steel Dynamics Inc.
STN,Stantec Inc Common Stock
STRNW,Stran & Company Inc. Warrant
STXS,Stereotaxis Inc. Common Stock
SUMO,Sumo Logic Inc. Common Stock
SUNW,Sunworks Inc. Common Stock
SURG,SurgePays Inc. Common Stock
SURGW,SurgePays Inc. Warrant
SVFAU,SVF Investment Corp. Unit
SVFAW,SVF Investment Corp. Warrant
SVFD,Save Foods Inc. Common Stock
SVRA,Savara Inc. Common Stock
SVREW,SaverOne 2014 Ltd. Warrant
SWETU,Athlon Acquisition Corp. Unit
SWVLW,Swvl Holdings Corp Warrant
SYBX,Synlogic Inc. Common Stock
SYTAW,Siyata Mobile Inc. Warrant
SZZLU,Sizzle Acquisition Corp. Unit
T,AT&T Inc.
TALK,Talkspace Inc. Common Stock
TALKW,Talkspace Inc. Warrant
TAOP,Taoping Inc. Ordinary Shares 
TBBK,The Bancorp Inc Common Stock
TBI,TrueBlue Inc. Common Stock
TBLAW,Taboola.com Ltd. Warrant
TBSAU,TB SA Acquisition Corp Unit
TCBK,TriCo Bancshares Common Stock
TCDA,Tricida Inc. Common Stock
TDW,Tidewater Inc. Common Stock
TECH,Bio-Techne Corp Common Stock
TEF,Telefonica SA Common Stock
TELA,TELA Bio Inc. Common Stock
TELL,Tellurian Inc. Common Stock
TENKU,TenX Keane Acquisition Unit
TEO,Telecom Argentina SA
TER,Teradyne Inc. Common Stock
TGAN,Transphorm Inc. Common Stock
TGNA,TEGNA Inc
THG,Hanover Insurance Group Inc
THRM,Gentherm Inc Common Stock
TIL,Instil Bio Inc. Common Stock
TILE,Interface Inc. Common Stock
TIOAU,Tio Tech A Units
TIOAW,Tio Tech A Warrants
TIPT,Tiptree Inc. Common Stock
TISI,Team Inc. Common Stock
TLYS,Tilly's Inc. Common Stock
TMUS,T-Mobile US Inc. Common Stock
TNC,Tennant Company Common Stock
TNGX,Tango Therapeutics Inc.
TNK,Teekay Tankers Ltd.
TOPS,TOP Ships Inc. Common Stock
TOWN,TowneBank Common Stock
TPG,TPG Inc. Class A Common Stock
TPR,Tapestry Inc. Common Stock
TRC,Tejon Ranch Co Common Stock
TREE,LendingTree Inc. Common Stock
TRIP,TripAdvisor Inc. Common Stock
TRMB,Trimble Inc. Common Stock
TRMD,TORM plc Class A Common Stock
TRNS,Transcat Inc. Common Stock
TROO,TROOPS Inc. Ordinary Shares 
TRU,TransUnion Common Stock
TRUE,TrueCar Inc. Common Stock
TRUP,Trupanion Inc. Common Stock
TRVN,Trevena Inc. Common Stock
TSE,Trinseo PLC Ordinary Shares 
TSLA,Tesla Inc. Common Stock
TSN,Tyson Foods Inc. Common Stock
TSRI,TSR Inc. Common Stock
TT,Trane Technologies plc
TTE,TotalEnergies SE
TTEK,Tetra Tech Inc. Common Stock
TTGT,TechTarget Inc. Common Stock
TVE,Tennessee Valley Authority
TWO,Two Harbors Investment Corp
TWOA,two Class A Ordinary Shares
TWOU,2U Inc. Common Stock
TXT,Textron Inc. Common Stock
TYDE,Cryptyde Inc. Common Stock
TZOO,Travelzoo Common Stock
UDMY,Udemy Inc. Common Stock
UDR,UDR Inc. Common Stock
UFI,Unifi Inc. New Common Stock
UGI,UGI Corporation Common Stock
UGRO,urban-gro Inc. Common Stock
UHAL,Amerco Common Stock
UI,Ubiquiti Inc. Common Stock
UL,Unilever PLC Common Stock
ULTA,Ulta Beauty Inc. Common Stock
UNIT,Uniti Group Inc. Common Stock
UNM,Unum Group Common Stock
UPH,UpHealth Inc. Common Stock
UPWK,Upwork Inc. Common Stock
UPXI,Upexi Inc. Common Stock
USAU,U.S. Gold Corp. Common Stock
USB,U.S. Bancorp Common Stock
USER,UserTesting Inc. Common Stock
USIO,Usio Inc. Common Stock
UTME,UTime Limited Ordinary Shares
UXIN,Uxin Limited ADS
V,Visa Inc.
VAL,Valaris Limited Common Shares
VALU,Value Line Inc. Common Stock
VAPO,Vapotherm Inc. Common Stock
VATE,INNOVATE Corp. Common Stock
VBNK,VersaBank Common Shares
VCNX,Vaccinex Inc. Common Stock
VCYT,Veracyte Inc. Common Stock
VEON,VEON Ltd. ADS
VERI,Veritone Inc. Common Stock
VERU,Veru Inc. Common Stock
VERY,Vericity Inc. Common Stock
VFC,V.F. Corporation Common Stock
VGZ,Vista Gold Corp Common Stock
VHI,Valhi Inc. Common Stock
VIEWW,View Inc. Warrant
VIIAU,7GC & Co. Holdings Inc. Unit
VITL,Vital Farms Inc. Common Stock
VIVK,Vivakor Inc. Common Stock
VLCN,Volcon Inc. Common stock
VLD,Velo3D Inc. Common Stock
VLDRW,Velodyne Lidar Inc. Warrants 
VLT,Invesco High Income Trust II
VMEO,Vimeo Inc. Common Stock
VRAY,ViewRay Inc. Common Stock
VRM,Vroom Inc. Common Stock
VRME,VerifyMe Inc. Common Stock
VRMEW,VerifyMe Inc. Warrant
VRSN,VeriSign Inc. Common Stock
VSAT,ViaSat Inc. Common Stock
VSEC,VSE Corporation Common Stock
VST,Vistra Corp. Common Stock
VSTM,Verastem Inc. Common Stock
VTEX,VTEX Class A Common Shares
VTR,Ventas Inc. Common Stock
VTRS,Viatris Inc. Common Stock
VTRU,Vitru Limited Common Shares
VTSI,VirTra Inc. Common Stock
VVI,Viad Corp Common Stock
VVNT,Vivint Smart Home Inc. 
VVV,Valvoline Inc. Common Stock
VVX,V2X Inc. Common Stock
VXRT,Vaxart Inc Common Stock
VYNT,Vyant Bio Inc. Common Stock
WALDW,Waldencast plc Warrant 
WAVD,WaveDancer Inc. Common Stock
WBEV,Winc Inc. Common Stock
WDFC,WD-40 Company Common Stock
WEJOW,Wejo Group Limited Warrant
WELL,Welltower Inc. Common Stock
WEX,WEX Inc. common stock
WEYS,Weyco Group Inc. Common Stock
WING,Wingstop Inc. Common Stock
WIT,Wipro Limited Common Stock
WIX,Wix.com Ltd. Ordinary Shares
WKME,WalkMe Ltd. Ordinary Shares
WKSP,Worksport Ltd. Common Stock
WKSPW,Worksport Ltd. Warrant
WLDSW,Wearable Devices Ltd. Warrant
WMT,Walmart Inc. Common Stock
WOLF,Wolfspeed Inc. Common Stock
WORX,SCWorx Corp. Common Stock
WPC,W. P. Carey Inc. REIT
WRK,Westrock Company Common Stock
WSBC,WesBanco Inc. Common Stock
WSO,Watsco Inc. Common Stock
WSO/B,Watsco Inc.
WSR,Whitestone REIT Common Shares
WT,WisdomTree Inc. Common Stock
WULF,TeraWulf Inc. Common Stock
WWD,Woodward Inc. Common Stock
XAIR,Beyond Air Inc. Common Stock
XBIT,XBiotech Inc. Common Stock
XCUR,Exicure Inc. Common Stock
XEL,Xcel Energy Inc. Common Stock
XELB,Xcel Brands Inc. Common Stock
XGN,Exagen Inc. Common Stock
XNCR,Xencor Inc. Common Stock
XOMA,XOMA Corporation Common Stock
XOS,Xos Inc. Common Stock
XOSWW,Xos Inc. Warrants
XP,XP Inc. Class A Common Stock
XPAXU,XPAC Acquisition Corp. Unit
XPEL,XPEL Inc. Common Stock
XPER,Xperi Inc. Common Stock 
XPO,XPO Logistics Inc.
XPON,Expion360 Inc. Common Stock
XWEL,XWELL Inc. Common Stock
XYL,Xylem Inc. Common Stock New
YCBD,cbdMD Inc. Common Stock
YELP,Yelp Inc. Common Stock
YEXT,Yext Inc. Common Stock
YUM,Yum! Brands Inc.
ZD,Ziff Davis Inc. Common Stock
ZEN,Zendesk Inc. Common Stock
ZIMV,ZimVie Inc. Common Stock
ZIVOW,Zivo Bioscience Inc. Warrants
ZOM,Zomedica Corp. Common Shares
ZS,Zscaler Inc. Common Stock
ZTEK,Zentek Ltd. Common Stock
ZTR,Virtus Total Return Fund Inc.
ZUMZ,Zumiez Inc. Common Stock
ZYME,Zymeworks Inc. Common Shares
ZYXI,Zynex Inc. Common Stock
