source-Company,target-Company
Embotelladora Andina S.A.,Embotelladora Andina S.A.
Embotelladora Andina S.A.,Embotelladora Andina S.A.
Akari Therapeutics plc ADS,Akari Therapeutics plc ADS
Akumin Inc. Common Stock (DE),Akumin Inc. (DE)
Akouos Inc. Common Stock,Akouos Inc.
Alcon Inc. Ordinary Shares,Alcon Inc. Ordinary Shares
Alico Inc. Common Stock,Alico Inc.
Allete Inc.,Allete Inc.
Alector Inc. Common Stock,Alector Inc.
Alamo Group Inc. Common Stock,Alamo Group Inc.
Alkermes plc Ordinary Shares,Alkermes plc Ordinary Shares
Allegion plc Ordinary Shares,Allegion plc Ordinary Shares
Allego N.V. Ordinary Share,Allego N.V. Ordinary Share
Allakos Inc. Common Stock,Allakos Inc.
Allot Ltd. Ordinary Shares,Allot Ltd. Ordinary Shares
AstroNova Inc. Common Stock,AstroNova Inc.
AlerisLife Inc. Common Stock,AlerisLife Inc.
Altimmune Inc. Common Stock,Altimmune Inc.
Autoliv Inc. Common Stock,Autoliv Inc.
Alvotech Ordinary Shares,Alvotech Ordinary Shares
Alvotech Warrant,Alvotech Warrant
AlloVir Inc. Common Stock,AlloVir Inc.
Alexander's Inc. Common Stock,Alexander's Inc.
Amcor plc Ordinary Shares,Amcor plc Ordinary Shares
AMETEK Inc.,AMETEK Inc.
Amedisys Inc Common Stock,Amedisys Inc
Amgen Inc. Common Stock,Amgen Inc.
Amplitech Group Inc. Warrants,Amplitech Group Inc. Warrants
Amarin Corporation plc,Amarin Corporation plc
Amyris Inc. Common Stock,Amyris Inc.
AMERISAFE Inc. Common Stock,AMERISAFE Inc.
Amesite Inc. Common Stock,Amesite Inc.
Amazon.com Inc. Common Stock,Amazon.com Inc.
AutoNation Inc. Common Stock,AutoNation Inc.
AnaptysBio Inc. Common Stock,AnaptysBio Inc.
Anghami Inc. Ordinary Shares,Anghami Inc. Ordinary Shares
Anghami Inc. Warrants,Anghami Inc. Warrants
ANI Pharmaceuticals Inc.,ANI Pharmaceuticals Inc.
Annexon Inc. Common Stock,Annexon Inc.
ANSYS Inc. Common Stock,ANSYS Inc.
Annovis Bio Inc. Common Stock,Annovis Bio Inc.
Sphere 3D Corp. Common Shares,Sphere 3D Corp. Common Shares
Artivion Inc. Common Stock,Artivion Inc.
APA Corporation Common Stock,APA Corporation
Apexigen Inc. Common Stock,Apexigen Inc.
Apexigen Inc. Warrant,Apexigen Inc. Warrant
AppHarvest Inc. Common Stock,AppHarvest Inc.
AppHarvest Inc. Warrants,AppHarvest Inc. Warrants
Aptiv PLC Ordinary Shares,Aptiv PLC Ordinary Shares
Aptinyx Inc. Common Stock,Aptinyx Inc.
APx Acquisition Corp. I Unit,APx Acquisition Corp. I Unit
Aqua Metals Inc. Common Stock,Aqua Metals Inc.
Aravive Inc. Common Stock,Aravive Inc.
Arbe Robotics Ltd. Warrant,Arbe Robotics Ltd. Warrant
Aequi Acquisition Corp. Unit,Aequi Acquisition Corp. Unit
Ardelyx Inc. Common Stock,Ardelyx Inc.
Argus Capital Corp. Unit,Argus Capital Corp. Unit
Argus Capital Corp. Warrant,Argus Capital Corp. Warrant
Arisz Acquisition Corp. Right,Arisz Acquisition Corp. Right
ARKO Corp. Common Stock,ARKO Corp.
ARKO Corp. Warrant,ARKO Corp. Warrant
Aramark Common Stock,Aramark
Archrock Inc. Common Stock,Archrock Inc.
Arqit Quantum Inc. Warrants,Arqit Quantum Inc. Warrants
ARMOUR Residential REIT Inc.,ARMOUR Residential REIT Inc.
Arrival Ordinary Shares,Arrival Ordinary Shares
Arvinas Inc. Common Stock,Arvinas Inc.
Sendas Distribuidora S A ADS,Sendas Distribuidora S A ADS
Astrea Acquisition Corp. Unit,Astrea Acquisition Corp. Unit
Ashland Inc. Common Stock,Ashland Inc.
AdvanSix Inc. Common Stock,AdvanSix Inc.
ABRI SPAC I INC. Common Stock,ABRI SPAC I INC.
ABRI SPAC I INC. Warrant,ABRI SPAC I INC. Warrant
Aspen Group Inc. Common Stock,Aspen Group Inc.
AST SpaceMobile Inc. Warrant,AST SpaceMobile Inc. Warrant
Atlas Corp. Common Shares,Atlas Corp. Common Shares
Atlas Corp. 7.95% Series D,Atlas Corp. 7.95% Series D
Atlas Corp. 7.875% Series H,Atlas Corp. 7.875% Series H
Aterian Inc. Common Stock,Aterian Inc.
Anterix Inc. Common Stock,Anterix Inc.
Athersys Inc. Common Stock,Athersys Inc.
ATI Inc. Common Stock,ATI Inc.
Atkore Inc. Common Stock,Atkore Inc.
Athenex Inc. Common Stock,Athenex Inc.
AptarGroup Inc. Common Stock,AptarGroup Inc.
AtriCure Inc. Common Stock,AtriCure Inc.
Atento S.A. Ordinary Shares,Atento S.A. Ordinary Shares
Audacy Common Stock,Audacy
AudioCodes Ltd. Common Stock,AudioCodes Ltd.
Augmedix Inc. Common Stock,Augmedix Inc.
authID Inc. Common Stock,authID Inc.
Aurora Acquisition Corp. Unit,Aurora Acquisition Corp. Unit
Auddia Inc. Common Stock,Auddia Inc.
Auddia Inc. Warrants,Auddia Inc. Warrants
Applied UV Inc. Common Stock,Applied UV Inc.
Broadcom Inc. Common Stock,Broadcom Inc.
Avinger Inc. Common Stock,Avinger Inc.
AvePoint Inc. Warrant,AvePoint Inc. Warrant
AVROBIO Inc. Common Stock,AVROBIO Inc.
Avnet Inc. Common Stock,Avnet Inc.
Avantor Inc. Common Stock,Avantor Inc.
Aware Inc. Common Stock,Aware Inc.
Axogen Inc. Common Stock,Axogen Inc.
Axonics Inc. Common Stock,Axonics Inc.
AXT Inc Common Stock,AXT Inc
Acuity Brands Inc.,Acuity Brands Inc.
AYRO Inc. Common Stock,AYRO Inc.
AutoZone Inc. Common Stock,AutoZone Inc.
Azenta Inc.,Azenta Inc.
AZZ Inc.,AZZ Inc.
Braskem SA ADR,Braskem SA ADR
Ball Corporation Common Stock,Ball Corporation
Credicorp Ltd. Common Stock,Credicorp Ltd.
Couchbase Inc. Common Stock,Couchbase Inc.
BigBear.ai Inc. Common Stock,BigBear.ai Inc.
Banco BBVA Argentina S.A. ADS,Banco BBVA Argentina S.A. ADS
Barings BDC Inc. Common Stock,Barings BDC Inc.
Bone Biologics Corp Warrants,Bone Biologics Corp Warrants
Bath & Body Works Inc.,Bath & Body Works Inc.
BioAtla Inc. Common Stock,BioAtla Inc.
BioCardia Inc. Common Stock,BioCardia Inc.
BioCardia Inc. Warrant,BioCardia Inc. Warrant
BCE Inc. Common Stock,BCE Inc.
BayCom Corp Common Stock,BayCom Corp
Blucora Inc. Common Stock,Blucora Inc.
Brightcove Inc. Common Stock,Brightcove Inc.
Barclays PLC Common Stock,Barclays PLC
Bancroft Fund Ltd.,Bancroft Fund Ltd.
Belden Inc Common Stock,Belden Inc
Biodesix Inc. Common Stock,Biodesix Inc.
Heartbeam Inc. Common Stock,Heartbeam Inc.
Heartbeam Inc. Warrant,Heartbeam Inc. Warrant
Beam Global Common Stock,Beam Global
Beam Global Warrant,Beam Global Warrant
Brown Forman Corporation,Brown Forman Corporation
Brown Forman Corporation,Brown Forman Corporation
Biofrontera Inc. Common Stock,Biofrontera Inc.
Biofrontera Inc. Warrants,Biofrontera Inc. Warrants
Bunge Limited Bunge Limited,Bunge Limited Bunge Limited
Birks Group Inc. Common Stock,Birks Group Inc.
Berkshire Grey Inc. Warrant,Berkshire Grey Inc. Warrant
BGSF Inc. Common Stock,BGSF Inc.
Benson Hill Inc. Common Stock,Benson Hill Inc.
Biohaven Ltd. Common Shares,Biohaven Ltd. Common Shares
Baidu Inc. ADS,Baidu Inc. ADS
Big Lots Inc. Common Stock,Big Lots Inc.
Biogen Inc. Common Stock,Biogen Inc.
Bio-Rad Laboratories Inc.,Bio-Rad Laboratories Inc.
Biocept Inc. Common Stock,Biocept Inc.
Biolase Inc. Common Stock,Biolase Inc.
Bitfarms Ltd. Common Stock,Bitfarms Ltd.
BankUnited Inc. Common Stock,BankUnited Inc.
BlackLine Inc. Common Stock,BlackLine Inc.
TopBuild Corp. Common Stock,TopBuild Corp.
bleuacacia ltd Rights,bleuacacia ltd Rights
bleuacacia ltd Warrants,bleuacacia ltd Warrants
BlackRock Inc. Common Stock,BlackRock Inc.
Blackbaud Inc. Common Stock,Blackbaud Inc.
Blink Charging Co. Warrant,Blink Charging Co. Warrant
Bank Of Montreal Common Stock,Bank Of Montreal
Biomerica Inc. Common Stock,Biomerica Inc.
Bionano Genomics Inc. Warrant,Bionano Genomics Inc. Warrant
DMC Global Inc. Common Stock,DMC Global Inc.
Box Inc. Class A Common Stock,Box Inc. Class A
Boxed Inc. Common Stock,Boxed Inc.
BP p.l.c. Common Stock,BP p.l.c.
Popular Inc. Common Stock,Popular Inc.
BRC Inc. Class A Common Stock,BRC Inc. Class A
BRF S.A.,BRF S.A.
Berkshire Hathaway Inc.,Berkshire Hathaway Inc.
Berkshire Hathaway Inc.,Berkshire Hathaway Inc.
Bruush Oral Care Inc. Warrant,Bruush Oral Care Inc. Warrant
Banco Santander - Chile ADS,Banco Santander - Chile ADS
Sierra Bancorp Common Stock,Sierra Bancorp
Bank7 Corp. Common stock,Bank7 Corp.
BT Brands Inc. Common Stock,BT Brands Inc.
BT Brands Inc. Warrant,BT Brands Inc. Warrant
BIT Mining Limited ADS,BIT Mining Limited ADS
BTCS Inc. Common Stock,BTCS Inc.
Biotricity Inc. Common Stock,Biotricity Inc.
Biote Corp. Warrant,Biote Corp. Warrant
BorgWarner Inc. Common Stock,BorgWarner Inc.
Broadwind Inc. Common Stock,Broadwind Inc.
Blackstone Inc. Common Stock,Blackstone Inc.
Baudax Bio Inc. Common Stock,Baudax Bio Inc.
Beyond Meat Inc. Common Stock,Beyond Meat Inc.
BuzzFeed Inc. Warrant,BuzzFeed Inc. Warrant
Citigroup Inc. Common Stock,Citigroup Inc.
Cable One Inc. Common Stock,Cable One Inc.
Cadence Bank Common Stock,Cadence Bank
Cadence Bank 5.50% Series A,Cadence Bank 5.50% Series A
CAE Inc. Ordinary Shares,CAE Inc. Ordinary Shares
Caleres Inc. Common Stock,Caleres Inc.
Calix Inc Common Stock,Calix Inc
CalAmp Corp. Common Stock,CalAmp Corp.
Camtek Ltd. Ordinary Shares,Camtek Ltd. Ordinary Shares
Can B Corp.,Can B Corp.
Cars.com Inc. Common Stock,Cars.com Inc.
Caterpillar Inc. Common Stock,Caterpillar Inc.
Chubb Limited Common Stock,Chubb Limited
Chain Bridge I Units,Chain Bridge I Units
Chain Bridge I Warrants,Chain Bridge I Warrants
CBIZ Inc. Common Stock,CBIZ Inc.
Crown Holdings Inc.,Crown Holdings Inc.
Comcast Holdings ZONES,Comcast Holdings ZONES
Cardlytics Inc. Common Stock,Cardlytics Inc.
CareDx Inc. Common Stock,CareDx Inc.
CDW Corporation Common Stock,CDW Corporation
Codexis Inc. Common Stock,Codexis Inc.
CADIZ Inc. Common Stock,CADIZ Inc.
Cadiz Inc. Depositary Shares,Cadiz Inc. Depositary Shares
CEA Industries Inc. Warrant,CEA Industries Inc. Warrant
Celcuity Inc. Common Stock,Celcuity Inc.
Celularity Inc. Warrant,Celularity Inc. Warrant
CENAQ Energy Corp. Unit,CENAQ Energy Corp. Unit
CENAQ Energy Corp. Warrant,CENAQ Energy Corp. Warrant
Crestwood Equity Partners LP,Crestwood Equity Partners LP
Certara Inc. Common Stock,Certara Inc.
Cemtrex Inc. Common Stock,Cemtrex Inc.
CEVA Inc. Common Stock,CEVA Inc.
CF Acquisition Corp. IV Unit,CF Acquisition Corp. IV Unit
Conformis Inc. Common Stock,Conformis Inc.
Compugen Ltd. Ordinary Shares,Compugen Ltd. Ordinary Shares
Chemed Corp,Chemed Corp
Check-Cap Ltd. Ordinary Share,Check-Cap Ltd. Ordinary Share
Chegg Inc. Common Stock,Chegg Inc.
Chico's FAS Inc. Common Stock,Chico's FAS Inc.
Chunghwa Telecom Co. Ltd.,Chunghwa Telecom Co. Ltd.
BanColombia S.A. Common Stock,BanColombia S.A.
Cipher Mining Inc. Warrant,Cipher Mining Inc. Warrant
Cingulate Inc. Common Stock,Cingulate Inc.
Cingulate Inc. Warrants,Cingulate Inc. Warrants
Cartica Acquisition Corp Unit,Cartica Acquisition Corp Unit
CKX Lands Inc. Common Stock,CKX Lands Inc.
Cellebrite DI Ltd. Warrants,Cellebrite DI Ltd. Warrants
Celldex Therapeutics Inc.,Celldex Therapeutics Inc.
Clearfield Inc. Common Stock,Clearfield Inc.
Clene Inc. Common Stock,Clene Inc.
Clene Inc. Warrant,Clene Inc. Warrant
ClimateRock Right,ClimateRock Right
ClimateRock Unit,ClimateRock Unit
Clarim Acquisition Corp. Unit,Clarim Acquisition Corp. Unit
Celestica Inc. Common Stock,Celestica Inc.
CleanSpark Inc. Common Stock,CleanSpark Inc.
Clarivate Plc Ordinary Shares,Clarivate Plc Ordinary Shares
Calyxt Inc. Common Stock,Calyxt Inc.
CareMax Inc. Warrant,CareMax Inc. Warrant
Cummins Inc. Common Stock,Cummins Inc.
CompoSecure Inc. Warrant,CompoSecure Inc. Warrant
Chimerix Inc. Common Stock,Chimerix Inc.
Centogene N.V. Common Shares,Centogene N.V. Common Shares
Cohen & Company Inc.,Cohen & Company Inc.
Coherent Corp. Common Stock,Coherent Corp.
Cohu Inc. Common Stock,Cohu Inc.
Colicity Inc. Units,Colicity Inc. Units
Colicity Inc. Warrant,Colicity Inc. Warrant
Conn's Inc. Common Stock,Conn's Inc.
CONX Corp. Unit,CONX Corp. Unit
CONX Corp. Warrant,CONX Corp. Warrant
Traeger Inc. Common Stock,Traeger Inc.
ConocoPhillips Common Stock,ConocoPhillips
Core Scientific Inc. Warrant,Core Scientific Inc. Warrant
Coursera Inc. Common Stock,Coursera Inc.
COVA Acquisition Corp. Unit,COVA Acquisition Corp. Unit
Copart Inc. (DE) Common Stock,Copart Inc. (DE)
Cepton Inc. Common Stock,Cepton Inc.
Cepton Inc. Warrant,Cepton Inc. Warrant
Crawford & Company,Crawford & Company
Crawford & Company,Crawford & Company
Carter's Inc. Common Stock,Carter's Inc.
Curis Inc. Common Stock,Curis Inc.
Salesforce Inc. Common Stock,Salesforce Inc.
CorMedix Inc. Common Stock,CorMedix Inc.
Cerence Inc. Common Stock,Cerence Inc.
Crocs Inc. Common Stock,Crocs Inc.
CorVel Corp. Common Stock,CorVel Corp.
Crown Crafts Inc Common Stock,Crown Crafts Inc
Cosan S.A. ADS,Cosan S.A. ADS
CSP Inc. Common Stock,CSP Inc.
CSX Corporation Common Stock,CSX Corporation
Yunhong CTI Ltd. Common Stock,Yunhong CTI Ltd.
Cantaloupe Inc. Common Stock,Cantaloupe Inc.
Catalent Inc. Common Stock,Catalent Inc.
Castellum Inc. Common Stock,Castellum Inc.
Citi Trends Inc. Common Stock,Citi Trends Inc.
CTS Corporation Common Stock,CTS Corporation
Innovid Corp. Common Stock,Innovid Corp.
Corteva Inc. Common Stock,Corteva Inc.
CubeSmart Common Shares,CubeSmart Common Shares
Cuentas Inc. Common Stock,Cuentas Inc.
Cuentas Inc. Warrant,Cuentas Inc. Warrant
Carnival Plc ADS ADS,Carnival Plc ADS ADS
Culp Inc. Common Stock,Culp Inc.
CuriosityStream Inc. Warrant,CuriosityStream Inc. Warrant
Cutera Inc. Common Stock,Cutera Inc.
CureVac N.V. Ordinary Shares,CureVac N.V. Ordinary Shares
CVR Energy Inc. Common Stock,CVR Energy Inc.
CVRx Inc. Common Stock,CVRx Inc.
CohBar Inc. Common Stock,CohBar Inc.
Crexendo Inc. Common Stock,Crexendo Inc.
CoreCivic Inc. Common Stock,CoreCivic Inc.
Cybin Inc. Common Shares,Cybin Inc. Common Shares
Cyngn Inc. Common Stock,Cyngn Inc.
CYREN Ltd. Ordinary Shares,CYREN Ltd. Ordinary Shares
CryoPort Inc. Common Stock,CryoPort Inc.
Daktronics Inc. Common Stock,Daktronics Inc.
DatChat Inc. Common Stock,DatChat Inc.
Dave Inc. Warrants,Dave Inc. Warrants
Deutsche Bank AG Common Stock,Deutsche Bank AG
DigitalBridge Group Inc.,DigitalBridge Group Inc.
Docebo Inc. Common Shares,Docebo Inc. Common Shares
Tritium DCFC Limited Warrant,Tritium DCFC Limited Warrant
DocGo Inc. Common Stock,DocGo Inc.
Dillard's Inc. Common Stock,Dillard's Inc.
Dillard's Capital Trust I,Dillard's Capital Trust I
Deere & Company Common Stock,Deere & Company
Denbury Inc. Common Stock,Denbury Inc.
Diageo plc Common Stock,Diageo plc
DHB Capital Corp. Unit,DHB Capital Corp. Unit
DHB Capital Corp. Warrant,DHB Capital Corp. Warrant
DHC Acquisition Corp. Unit,DHC Acquisition Corp. Unit
DHC Acquisition Corp. Warrant,DHC Acquisition Corp. Warrant
D.R. Horton Inc. Common Stock,D.R. Horton Inc.
DHT Holdings Inc.,DHT Holdings Inc.
DHI Group Inc. Common Stock,DHI Group Inc.
1stdibs.com Inc. Common Stock,1stdibs.com Inc.
DLH Holdings Corp.,DLH Holdings Corp.
Dollar Tree Inc. Common Stock,Dollar Tree Inc.
DermTech Inc. Common Stock,DermTech Inc.
Codex DNA Inc. Common Stock,Codex DNA Inc.
NOW Inc. Common Stock,NOW Inc.
DocuSign Inc. Common Stock,DocuSign Inc.
Dole plc Ordinary Shares,Dole plc Ordinary Shares
Dow Inc. Common Stock,Dow Inc.
Draganfly Inc. Common Shares,Draganfly Inc. Common Shares
Dril-Quip Inc. Common Stock,Dril-Quip Inc.
Drive Shack Inc.,Drive Shack Inc.
Drive Shack Inc. Pfd Ser D,Drive Shack Inc. Pfd Ser D
Daseke Inc. Common Stock,Daseke Inc.
DSS Inc. Common Stock,DSS Inc.
Dynatrace Inc. Common Stock,Dynatrace Inc.
DAVIDsTEA Inc. Common Stock,DAVIDsTEA Inc.
Datasea Inc. Common Stock,Datasea Inc.
DaVita Inc. Common Stock,DaVita Inc.
DexCom Inc. Common Stock,DexCom Inc.
DZS Inc. Common Stock,DZS Inc.
ENI S.p.A. Common Stock,ENI S.p.A.
Edify Acquisition Corp. Units,Edify Acquisition Corp. Units
Eargo Inc. Common Stock,Eargo Inc.
eBay Inc. Common Stock,eBay Inc.
EBET INC. Common Stock,EBET INC.
Ennis Inc. Common Stock,Ennis Inc.
Ebix Inc. Common Stock,Ebix Inc.
ECB Bancorp Inc. Common Stock,ECB Bancorp Inc.
Ecolab Inc. Common Stock,Ecolab Inc.
electroCore Inc. Common Stock,electroCore Inc.
Ecovyst Inc. Common Stock,Ecovyst Inc.
EuroDry Ltd. Common Shares,EuroDry Ltd. Common Shares
Equifax Inc. Common Stock,Equifax Inc.
Enerflex Ltd Common Shares,Enerflex Ltd Common Shares
8x8 Inc Common Stock,8x8 Inc
Edgio Inc. Common Stock,Edgio Inc.
EHang Holdings Limited ADS,EHang Holdings Limited ADS
Enhabit Inc. Common Stock,Enhabit Inc.
eHealth Inc. Common Stock,eHealth Inc.
Electromed Inc. Common Stock,Electromed Inc.
Elme Communities Common Stock,Elme Communities
Eltek Ltd. Ordinary Shares,Eltek Ltd. Ordinary Shares
Embecta Corp. Common Stock,Embecta Corp.
EMCOR Group Inc. Common Stock,EMCOR Group Inc.
Enbridge Inc Common Stock,Enbridge Inc
EnerSys Common Stock,EnerSys
Entegris Inc. Common Stock,Entegris Inc.
Entera Bio Ltd. Warrant,Entera Bio Ltd. Warrant
Envestnet Inc Common Stock,Envestnet Inc
Evolus Inc. Common Stock,Evolus Inc.
ESSA Pharma Inc. Common Stock,ESSA Pharma Inc.
EPR Properties Common Stock,EPR Properties
Equillium Inc. Common Stock,Equillium Inc.
Equinor ASA,Equinor ASA
EQRx Inc. Common Stock,EQRx Inc.
EQRx Inc. Warrant,EQRx Inc. Warrant
EQT Corporation Common Stock,EQT Corporation
Erasca Inc. Common Stock,Erasca Inc.
Embraer S.A. Common Stock,Embraer S.A.
ESAB Corporation Common Stock,ESAB Corporation
EngageSmart Inc. Common Stock,EngageSmart Inc.
Elastic N.V. Ordinary Shares,Elastic N.V. Ordinary Shares
89bio Inc. Common Stock,89bio Inc.
Etsy Inc. Common Stock,Etsy Inc.
Euronav NV Ordinary Shares,Euronav NV Ordinary Shares
Enviva Inc. Common Stock,Enviva Inc.
Everbridge Inc. Common Stock,Everbridge Inc.
Eve Holding Inc. Common Stock,Eve Holding Inc.
Evogene Ltd Ordinary Shares,Evogene Ltd Ordinary Shares
EVgo Inc. Warrants,EVgo Inc. Warrants
Evergreen Corporation Warrant,Evergreen Corporation Warrant
Evo Acquisition Corp. Unit,Evo Acquisition Corp. Unit
Evo Acquisition Corp. Warrant,Evo Acquisition Corp. Warrant
Evergy Inc. Common Stock,Evergy Inc.
Evertec Inc. Common Stock,Evertec Inc.
Exelixis Inc. Common Stock,Exelixis Inc.
Exponent Inc. Common Stock,Exponent Inc.
Express Inc. Common Stock,Express Inc.
Eyenovia Inc. Common Stock,Eyenovia Inc.
Farmmi Inc. Ordinary Shares,Farmmi Inc. Ordinary Shares
Fastenal Company Common Stock,Fastenal Company
FAT Brands Inc. Warrant,FAT Brands Inc. Warrant
FaZe Holdings Inc. Warrant,FaZe Holdings Inc. Warrant
First Bancshares Inc.,First Bancshares Inc.
First Bancorp Common Stock,First Bancorp
Femasys Inc. Common Stock,Femasys Inc.
Ferguson plc Ordinary Shares,Ferguson plc Ordinary Shares
FFBW Inc. Common Stock (MD),FFBW Inc. (MD)
F5 Inc. Common Stock,F5 Inc.
FibroGen Inc Common Stock,FibroGen Inc
FGI Industries Ltd. Warrant,FGI Industries Ltd. Warrant
FG Merger Corp. Common Stock,FG Merger Corp.
FG Merger Corp. Unit,FG Merger Corp. Unit
FG Merger Corp. Warrant,FG Merger Corp. Warrant
Future Health ESG Corp. Unit,Future Health ESG Corp. Unit
FinWise Bancorp Common Stock,FinWise Bancorp
Fiserv Inc. Common Stock,Fiserv Inc.
Five Below Inc. Common Stock,Five Below Inc.
Five9 Inc. Common Stock,Five9 Inc.
Foot Locker Inc.,Foot Locker Inc.
Flex Ltd. Ordinary Shares,Flex Ltd. Ordinary Shares
FLEX LNG Ltd. Ordinary Shares,FLEX LNG Ltd. Ordinary Shares
Fluent Inc. Common Stock,Fluent Inc.
FMC Corporation Common Stock,FMC Corporation
Fabrinet Ordinary Shares,Fabrinet Ordinary Shares
Paragon 28 Inc. Common Stock,Paragon 28 Inc.
Franco-Nevada Corporation,Franco-Nevada Corporation
Finward Bancorp Common Stock,Finward Bancorp
Forian Inc. Common Stock,Forian Inc.
FlexShopper Inc. Common Stock,FlexShopper Inc.
First Bank Common Stock,First Bank
FREYR Battery Ordinary Shares,FREYR Battery Ordinary Shares
JFrog Ltd. Ordinary Shares,JFrog Ltd. Ordinary Shares
Freshpet Inc. Common Stock,Freshpet Inc.
Forza X1 Inc. Common Stock,Forza X1 Inc.
FS Bancorp Inc. Common Stock,FS Bancorp Inc.
First Solar Inc. Common Stock,First Solar Inc.
Fast Radius Inc. Warrants,Fast Radius Inc. Warrants
FTC Solar Inc. Common Stock,FTC Solar Inc.
Frontdoor Inc. Common Stock,Frontdoor Inc.
Fuel Tech Inc. Common Stock,Fuel Tech Inc.
TechnipFMC plc Ordinary Share,TechnipFMC plc Ordinary Share
Fortinet Inc. Common Stock,Fortinet Inc.
Fortis Inc. Common Shares,Fortis Inc. Common Shares
fuboTV Inc. Common Stock,fuboTV Inc.
Cedar Fair L.P. Common Stock,Cedar Fair L.P.
Arcimoto Inc. Common Stock,Arcimoto Inc.
FVCBankcorp Inc. Common Stock,FVCBankcorp Inc.
Genpact Limited Common Stock,Genpact Limited
GAN Limited Ordinary Shares,GAN Limited Ordinary Shares
StealthGas Inc. Common Stock,StealthGas Inc.
GATX Corporation Common Stock,GATX Corporation
Galiano Gold Inc.,Galiano Gold Inc.
Gannett Co. Inc. Common Stock,Gannett Co. Inc.
GCM Grosvenor Inc. Warrant,GCM Grosvenor Inc. Warrant
Genesco Inc. Common Stock,Genesco Inc.
GlucoTrack Inc. Common Stock,GlucoTrack Inc.
GDS Holdings Limited ADS,GDS Holdings Limited ADS
Gen Digital Inc. Common Stock,Gen Digital Inc.
Genetic Technologies Ltd ADS,Genetic Technologies Ltd ADS
Geo Group Inc (The) REIT,Geo Group Inc (The) REIT
Guess? Inc. Common Stock,Guess? Inc.
Gevo Inc. Common Stock,Gevo Inc.
Gerdau S.A. Common Stock,Gerdau S.A.
Green Giant Inc. Common Stock,Green Giant Inc.
Graco Inc. Common Stock,Graco Inc.
Gogoro Inc. Ordinary Shares,Gogoro Inc. Ordinary Shares
Gogoro Inc. Warrant,Gogoro Inc. Warrant
Gores Holdings IX Inc. Unit,Gores Holdings IX Inc. Unit
CGI Inc. Common Stock,CGI Inc.
Gores Holdings VIII Inc. Unit,Gores Holdings VIII Inc. Unit
Globe Life Inc. Common Stock,Globe Life Inc.
GoldMining Inc. Common Shares,GoldMining Inc. Common Shares
TD Holdings Inc. Common Stock,TD Holdings Inc.
Golar Lng Ltd,Golar Lng Ltd
Globant S.A. Common Shares,Globant S.A. Common Shares
Galecto Inc. Common Stock,Galecto Inc.
